csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_description,kind,status,notes,transform,transform_args,needs_source,source_fields,source,
LHTIME,,,constant_float0d(:),,,The time of the L to H transition in seconds.,,,temporary,"Important quantity. Potential discussion for summary IDS. Event name and event time , list of events.",identity,,,,,
TPI,,,constant_integer0d(:),,,Time point indicator (ASDEX only). Possible values are: 0 Indicator not used 1-3 Ohmic points 4 L-mode 5-7 H-mode points up to the time at which DWDIA = 0 8-9 Extra H-mode points - (no data),,,discard,"ASDEX-only bookkeeping flag, no DD equivalent; suggest temporary.",identity,,,,,
ISEQ,,,constant_string0d(:),,,"Parameter scan identifier Possible options for ASDEX are: Toroidal magnetic field scans BT1, BT2P4, BT3, BT4, BT5, BT6, BT7 High beta investigations, Ti profile measurements HBE1, HBE2, HBE3 QCYL scan QC1P3 Search for long ELM-free periodsEF11 Density variation NE1 Spectroscopic investigations SP11 Power scans (PNBI) P1, P2, QC1P3, BT2P4 Comparison shots for helium programG1 Search for high confinement timesHT1 No scan NONE Possible options for AUG are: Confinement identity AUG/DIII-D AUG_DIIID Confinement identity AUG/JET AUG_JET Confinement identity AUG/CMOD AUG_CMOD Current scan IP1 IP, BT and power scan IPBTP1 Power and density scan nr. 1 PNE1 Power and density scan nr. 2 PNE2 Power and density scan nr. 3 PNE3 Power and density scan nr. 4 PNE4 Pellet scan PELLET IHMODE No scan NONE Possible options for CMOD are : No scan NONE Possible options for COMPASS are : No scan NONE Possible options for D3D are: Elongation scans KAPPA1, KAPPA2, KAPPA3 L-mode rho* scans LRHO1, LRHO2, LRHO3 H-mode rho* scans HRHO1, HRHO2, HRHO3, RHOSCAN Nu* scans LNU1, HNU1 Beta scans LBETA1, HBETA1 q scans QSCAN Rho* scaling from DIII- D/JET comparison JET1, JETSIMILAR High density, good confinement with pelletsHINE Reference shot without gas puff HI_GP_REF High density, good confinement with gas puffHI_GP The ratio of Te/Ti was varied TETISCALE No scan NONE Possible options for JET are: Tokamak identity scans DIIID, D3D1, AUG, CMOD, CMOD1, JT60U, ITER, ITER/LL, ITER/LU, ITER-LIKE L-mode rho* scans LRHO1, LRHO2, LRHO3 (no data) H-mode rho* scans RHO1, RHO2, RHO3, RHO4, LOW-RHO Nu* scans NU1 Beta scans BETA1, HIGH-BETA Configuration scans H/SFE/VLT, H/SFE/LT, H/SFE/HT, H/SFE/VHT, H/SFE/VH, H/SFE/?? H/LFE/HT H/HFE/LT, H/HFE/HT, H/HFE/?? HC/SFE/LT HK/LT/99, HK/HT/99 LK/LT/99 V/SFE/LTS, V/SFE/LT, V/SFE/HT, V/SFE/VHT V/SFE/VH, V/SFE/EH V/HFE/LT, V/HFE/HT V/LFE/LT C/SFE/LT, C/SFE/HT SEPTUM, S/SFE/LT, S/SFE/HT HC, HC/HT, HIGHCL, DNX, HT3 DOC-U, DOC-L, DOC-LL No scan NONE Possible options for JFT2M [...]",,,temporary,"Database bookkeeping (scan id), no DD equivalent; suggest temporary. | csv_description truncated from 3441 chars; full flag-code/lookup table in DB4v5 PDF entry 24.",identity,,,,,
MEFF,,u,,FLT_1D,summary/volume_average/meff_hydrogenic,"Effective atomic mass in AMU. Based on concentration measurements in JET, START and TFTR or calculated as = 0.5 (PGASA + 0.5 (BGASA + BGASA2)) if PINJ > 0 and PINJ2 > 0. = 0.5 (PGASA + BGASA) if only PINJ > 0. = PGASA otherwise. JET: A few Ohmic observations PNBI <= 3 kW. For these observations MEFF = PGASA.",Effective mass of the hydrogenic species (MH. nH+MD.nD+MT.nT)/(nH+nD+nT)  ,dynamic,derived,"IMAS definition is explicit about hydrogenic species. However PGASA and MEFF in database include He3 and He4 as the ""working gas"".",identity,,TRUE,,,
PGASA,,u,,FLT_1D,summary/volume_average/meff_hydrogenic,Mass number of the plasma working gas (real value). Possible values are: 1 Hydrogen 2 Deuterium 2.5 Deuterium and Tritium 3 3He or Tritium 4 4He 14.01 Nitrogen,Effective mass of the hydrogenic species (MH. nH+MD.nD+MT.nT)/(nH+nD+nT)  ,dynamic,mapped,"""Working gas""? Technically derivable from MEFF and Atomic mass number of NB injectors.",identity,,TRUE,,,
PGASZ,,1,constant_integer0d(:),FLT_1D,summary/volume_average/zeff,"Charge number of the plasma working gas (integer value). Possible values are: 1 Hydrogen, Deuterium or Tritium 2 Helium 7 Nitrogen",Effective charge,dynamic,mapped_caveat,"""working gas""?",identity,,TRUE,,,
BGASA,,,,,summary/heating_current_drive/nbi(0)/species/a,Mass number of the neutral beam gas (real value). Possible values are: 0 When PINJ = 0 1 Hydrogen 2 Deuterium 3 3He or Tritium 4 4He,,,mapped,,identity,,TRUE,,,
BGASZ,,,,,summary/heating_current_drive/nbi(0)/species/z_n,"Charge number of the neutral beam gas (integer value). Possible values are: 0 When PINJ = 0 1 Hydrogen, Deuterium or Tritium 2 Helium",,,mapped,,identity,,TRUE,,,
BGASA2,,,,,summary/heating_current_drive/nbi(1)/species/a,Mass number of the second neutral beam gas (real value). Possible values are: 0 When PINJ2 = 0 1 Hydrogen 2 Deuterium 3 3He or Tritium 4 4He,,,mapped,,identity,,TRUE,,,
BGASZ2,,,,,summary/heating_current_drive/nbi(1)/species/z_n,"Charge number of the second neutral beam gas (integer value). Possible values are: 0 When PINJ2 = 0 1 Hydrogen, Deuterium or Tritium 2 Helium",,,mapped,,identity,,TRUE,,,
PELLET,,,,,,Pellet material if a pellet(s) has been injected. Possible values are: NONE No pellets H Hydrogen pellet(s) D Deuterium pellet(s) GP_H Strong Hydrogen gas fuelling GP_D Strong Deuterium gas fuelling GAS- FUEL Strong gas fuelling (JET),,,,Pellet material string. Candidate: pellets/time_slice/pellet/species (pellets IDS) — not a summary scalar. Suggest temporary.,,,,,,
FUELRATE,,,,,,Fuel rate in electrons per second of extra gas.,,,,Fuel rate from extra gas injection (e/s). Candidate: gas_injection/pipe/valve/flow_rate (gas_injection IDS) — not in summary. Suggest temporary.,,,,,,
XGASZ,,,,,,Atomic Charge of extra fuelled gas. Possible values are: 0 No extra fuelled gas 1 Hydrogen 2 Helium 7 Nitrogen 10 Neon 16 Sulfur - should this be 14 for Silicon? 18 Argon 36 Krypton,,,,Atomic charge of extra fuelled gas. Candidate: gas_injection/pipe/valve/species/z (gas_injection IDS). No summary path. Suggest temporary.,,,,,,
XGASA,,,,,,Atomic Mass of extra fuelled gas. Possible values are: 0 No extra fuelled gas 1 Hydrogen 2 Deuterium 3 Tritium / Helium 4 Helium ~ 14 Nitrogen ~ 20.18 Neon 28 Silicon ~ 39.95 Argon 83.8 Krypton,,,,Atomic mass of extra fuelled gas. Candidate: gas_injection/pipe/valve/species/a. No summary path. Suggest temporary.,,,,,,
CONFIG,,,,INT_1D,summary/boundary/type,"The plasma configuration. Possible values are: SN Single null SN(L) Single null with the x-point at the bottom of the machine SN(U) Single null with the x-point at the top of the machine DN Double null DND Double null divertor IW Inner wall. LIM Outboard limiter BOT Limited on bottom of vessel TOP Limited on top of vessel MAR Marginally diverted/limited Tokamak details: TOK SN SN(L) SN(U) DN DND IW LIM BOT TOP MAR ASDEX x x AUG x CMOD x x x COMPASS x D3D x x x x x x x x JET x x x x JFT2M x x JT60U x PBXM x PDX x START x T10 x TCV x x TDEV x TEXTOR x TFTR x TUMAN3M x MAST x NSTX x ASDEX: DN if vertical shift DZ is less than 5 mm, otherwise SN. D3D: DN if two nulls and the separatrix flux surface are inside the divertor tiles and on the same flux surface within 0.25 cm. JFT2M: DN if two nulls are inside the limiter.","0 (limiter), 1 (diverted), 11 (LSN), 12 (USN), 13 (DN), 14 (snowflake)",dynamic,mapped_caveat,"is MAR = snowflake? In addition, definitions of IN, OUT are not specified in variable definitions",dictionary,"{""LIM"": 0, ""SN"": 1, ""SN(L)"": 11, ""SNL"": 11, ""SNB"": 11, ""SN(U)"": 12, ""SNT"": 12, ""DN"": 13}",TRUE,,"LIM = 0, SN = 1, SN(L) = 11, SNL = 11, SNB = 11 SN(U) = 12, SNT = 12, DN = 13",
RGEO,,,,,summary/boundary/geometric_axis_r&summary/global_quantities/r0,"The plasma geometrical major radius in meters, from an MHD equilibrium fit, defined as the average of the minimum and the maximum radial extent of the plasma.",,,mapped,,identity,,TRUE,,,
RMAG,,,,,equilibrium/time_slice(0)/global_quantities/magnetic_axis/r,The major radius of the magnetic axis in meters from an MHD equilibrium fit. ASDEX: Formula based on a number of equilibriums.,,,mapped,,identity,,,,,
AMIN,,m,,FLT_1D,summary/boundary/minor_radius,The horizontal plasma minor radius in meters from an MHD equilibrium fit. ASDEX: Formula based on a number of equilibriums.,Minor radius of the plasma boundary (defined as (Rmax-Rmin) / 2 of the boundary),dynamic,mapped,,identity,,TRUE,,,
KAPPA,,1,,FLT_1D,summary/boundary/elongation,The plasma elongation determined from an MHD equilibrium fit. ASDEX: Formula based on a number of equilibriums. PDX: k = 1 for all records.,Elongation of the plasma boundary,dynamic,mapped_caveat,Also has a corresponding leaf in equilibrium,identity,,TRUE,,,
KAPPAA,,,,,,New plasma elongation definition (= AREA / ( p AMIN2) ) COMPASS: AREA is approximated by VOL / (2p RGEO).,,,,Elongation = AREA/(π·AMIN²). Derivable from mapped fields (AREA and AMIN). No dedicated DD field. Suggest derived.,,,,,,
KAREA,,,,,,New plasma elongation definition (= VOL / (2p RGEO) / ( p AMIN2) ),,,,"Elongation = VOL/(2π·RGEO)/(π·AMIN²). Derivable from mapped VOL, RGEO, AMIN. Suggest derived.",,,,,,
DELTA,,,,,equilibrium/time_slice(0)/boundary/triangularity,The triangularity of the plasma boundary from an MHD equilibrium fit.,,,mapped,,identity,,,,,
DELTAU,,1,,FLT_1D,summary/boundary/triangularity_upper,Upper triangularity of the plasma boundary from an MHD equilibrium fit.,Upper triangularity of the plasma boundary,dynamic,mapped,,identity,,TRUE,,,
DELTAL,,1,,FLT_1D,summary/boundary/triangularity_lower,Lower triangularity of the plasma boundary from an MHD equilibrium fit.,Lower triangularity of the plasma boundary,dynamic,mapped,,identity,,TRUE,,,
INDENT,,,constant_float0d(:),,,Indentation of the plasma determined from an MHD equilibrium fit.,,,discard,"No indentation field in the current DD (boundary carries squareness, elongation, triangularity); suggest temporary.",identity,,,,,
AREA,,,,,equilibrium/time_slice(0)/global_quantities/area,Area of plasma cross section in m2 determined from an MHD equilibrium fit. ASDEX: Formula based on a number of equilibriums.,,,mapped_caveat,"""Area of plasma cross section"" = LCFS poloidal cross section?",identity,,,,,
VOL,,m^3,,FLT_1D,summary/global_quantities/volume,The plasmas volume in m3 determined from an MHD equilibrium fit. ASDEX: Formula based on a number of equilibriums.,Volume of the confined plasma,dynamic,mapped,,identity,,TRUE,,,
SEPLIM,,m,,FLT_1D,summary/boundary/gap_limiter_wall,The minimum distance between the separatrix flux surface and either the vessel wall or limiters in meters from an MHD equilibrium fit. ASDEX: Formula based on a number of equilibriums.,Distance between the separatrix and the nearest limiter or wall element,dynamic,mapped,,identity,,TRUE,,,
XPLIM,,,,,,The minimum distance between the X-point and either the vessel walls or limiters in meters from an MHD equilibrium fit. The value is positive if X-point is inside either the vessel wall or limiters.,,,,X-point to vessel-wall/limiter distance. summary/boundary/gap_limiter_wall is SEPLIM (separatrix-limiter). No dedicated X-point-to-wall field in summary. Suggest temporary.,,,,,,
WALMAT,,,,,summary/wall/material,The material of the vessel wall. Possible values are: C Carbon SS for Stainless Steel IN for Inconel IN/C for Inconel with Carbon CSS for (partly) Carbon on Stainless Steel. AL for Aluminum,Wall material,,mapped,,dictionary,"{""C"": 1, ""SS"": 4, ""Fe"": 4, ""F82H"": 4, ""CSS"": 5, ""IN"": 6, ""IN/C"": 7, ""Mo"": 11,""ss"":4}",TRUE,"(""index"", ""description"")","C = 1, SS = 4, Fe = 4, F82H = 4, CSS = 5, IN = 6, IN/C = 7, Mo = 11",
DIVMAT,,,,,divertors/divertor(0)/description,"The material of the divertor tiles. Possible values are: SS for Stainless Steel C CC for Carbon TI1 TI2 for Titanium, BE for Beryllium C/BE for Carbon at the top and Beryllium at the bottom W for Wolfram MO for Molybdenum IN for Inconel NONE for no Divertor",,,mapped_caveat,,identity,,,,,
LIMMAT,,,,,summary/limiter/material,The material of the limiters. Possible values are: C for Carbon BE for Beryllium MO for Molybdenum NONE for no Limiter,Limiter material,,mapped,dictionary needs to be determined,dictionary,"{""C"": 1, ""c"": 1, ""ca"": 1, ""C/BE"": 1, ""Fe"": 4, ""BE"": 10, ""Mo"": 11, ""MO"": 11}",TRUE,"(""index"", ""description"")","LIM = 0, SN = 1, IN = 11, SN(L) = 11, SNL = 11, SNB = 11, OUT = 12, SN(U) = 12, SNT = 12, DN = 13, MAR = 14",
EVAP,,,,STR_0D,summary/wall/evaporation,The evaporated material used to cover the inside of the vessel. Possible values are: BOR BO for Boron BOROA for Boron (B2H6 + CH4 + H2) BOROB for Boron (B2H6 + H2) BOROC for Boron BOROX for Boron B2D6 for Boron CARB for Carbon CARBH for Carbon (CH4 + D2) CARBORANEfor Orto-Carborane (C2B10H12) into He Glow DECABORA ??? TI for Titanium BE for Beryllium SILICON for Silicon SID4 for Silicon NONE for no evaporation JET to repair,Chemical formula of the evaporated material or gas used to cover the vaccum vessel wall. NONE for no evaporation.,static,mapped,"dictionary needed since ""NONE"" is in data as string",identity,,TRUE,,"BOROA = (B2H6 + CH4 + H2), BOROB = (B2H6 + H2), BOROC = BORO = BOR = BO = B = Boron",
DALFMP,,,,,,Da emission on the midplane.,,,,No summary-level D-alpha scalar. Nearest diagnostic path: spectrometer_visible/channel(0)/grating_spectrometer/processed_line(0)/intensity/data for a midplane spectroscopy channel. Suggest temporary or mapped_caveat at diagnostic level with channel-index caveat.,,,,,,
DALFDV,,,,,,Da emission in the divertor.,,,,Dα emission in the divertor (arbitrary units). No summary scalar. Nearest: spectrometer_visible/channel/.../processed_line/intensity for a divertor channel. Machine-specific channel assignment required. Suggest temporary (analogous to DALFMP).,,,,,,
IGRADB,,,constant_integer0d(:),,,"Indicates, when CONFIG = SN, whether the ion grad-B drift is towards ( = 1) or pointing away from ( = -1) the X-point.",,,temporary,"Important quantity. Potentially derived, check with TC26 if CONFIG and sign of BT have a certain relationship.",identity,,,,,
BT,,T,,FLT_1D,summary/global_quantities/b0,The vacuum Toroidal magnetic field in Tesla at RGEO determined from the TF coil current. AUG/CMOD/MAST: Normally negative BT values. JET: Negative BT values indicate reversed Toroidal field.,Vacuum toroidal field at R0. Positive sign means anti-clockwise when viewed from above. The product R0B0 must be consistent with the b_tor_vacuum_r field of the tf IDS.,dynamic,mapped,,identity,,TRUE,,,
IEML,,,constant_float0d(:),,,Ergodic magnetic field coil current in Amperes.,,,discard,"Should be dropped. Data for ALL rows are either 0, N/A, or junk values (-1e-8). Is machine specific anyway.",identity,,,,,
PREMAG,,,,,,Indicates if startup was done with ( = YES) or without ( = NO) pre-magnetization current. JET: If PREMAG = NO for pre 94 shots then WMHD is missing.,,,,Pre-magnetization startup flag (YES/NO). No DD field. Suggest temporary or discard.,,,,,,
IP,,A,,FLT_1D,summary/global_quantities/ip,The plasma current in Amperes determined from an external Rogowski loop with vessel current subtraction. CMOD/JET/TDEV: Normally negative IP values. Positive IP values indicate operation with reversed current.,Total plasma current (toroidal component). Positive sign means anti-clockwise when viewed from above.,dynamic,mapped,,identity,,TRUE,,,
VSURF,,V,,FLT_1D,summary/global_quantities/v_loop,The loop voltage at the plasma boundary in volts.,LCFS loop voltage (positive value drives positive ohmic current that flows anti-clockwise when viewed from above),dynamic,mapped,,identity,,TRUE,,,
Q95,,1,,FLT_1D,summary/global_quantities/q_95,The plasma safety factor from an MHD equilibrium fit evaluated at the flux surface that encloses 95% of the total poloidal flux. ASDEX: Q95 = qcyl (1 + (AMIN/RGEO)^2 (1 + 0.5 BEILI2^2)) with qcyl = 5e6 (BT/IP) (AMIN^2/RGEO) (1+KAPPA^2)/2. TFTR: Q at boundary defined by limiter.,q at the 95% poloidal flux surface (only positive when toroidal current and magnetic field are in same direction),dynamic,mapped,,identity,,TRUE,,,
SH95,,,,,,The magnetic shear at the flux surface that encloses 95% of the total poloidal flux.,,,,"Magnetic shear at 95% poloidal flux surface. Candidate: summary/local/separatrix/magnetic_shear (shear at LCFS, nearest proxy for ~95% flux surface). Caveat: 95%-flux surface ≠ separatrix exactly; no q95-surface-specific shear exists in summary. Alternative: equilibrium/time_slice/profiles_1d/magnetic_shear evaluated at rho(q95). Suggest temporary until exact location is resolved.",,,,,,
BEILI2,,,constant_float0d(:),,,"Quantity bI + 0.5 li, where bI is the Shafranov beta and li the internal inductance, determined from MHD or probe measurements (ASDEX).",,,temporary,"Composite bI + li/2 has no DD field; the components exist separately (summary/global_quantities/beta_pol, summary/global_quantities/li). Suggest derived or temporary.",identity,,,,,
BEIMHD,,,constant_float0d(:),,,Beta Shafranov from MHD. ASDEX: BEIMHD equals BEILI2 minus an estimate of li/2 obtained during the Ohmic phase assuming a resistive equilibrium. TFTR: BEIMHD equals (2xBEPMHD + BEPDIA)/3.,,,temporary,,identity,,,,,
BEPMHD,,1,,FLT_1D,summary/global_quantities/beta_pol_mhd,Poloidal beta computed from the MHD equilibrium fit. ASDEX: BEPMHD equals BEIMHD. TFTR: BEPMHD equals BEILI2 - li/2 with li/2 from time evolution model.,Poloidal beta estimated from the pressure determined by an equilibrium reconstruction code. Defined as betap = 4 int(p dV) / [R_0 * mu_0 * Ip^2],dynamic,mapped,BEIMHD and BEPMHD both map here; verify which definition applies.,identity,,TRUE,,,
BETMHD,,1,,FLT_1D,summary/global_quantities/beta_tor_mhd,Toroidal beta computed from the MHD equilibrium fit. TFTR: Computed from BEPMHD.,"Toroidal beta, using the pressure determined by an equilibrium reconstruction code",dynamic,mapped,,identity,,TRUE,,,
BEPDIA,,1,,FLT_1D,summary/global_quantities/beta_pol,Poloidal diamagnetic beta. ASDEX: Corrected poloidal diamagnetic beta using an average of the 3 Ohmic points in the database.,Poloidal beta. Defined as betap = 4 int(p dV) / [R_0 * mu_0 * Ip^2],dynamic,mapped_caveat,"beta_pol is the only non-MHD poloidal beta in summary, but its DD definition is equilibrium-pressure based, not diamagnetic-specific - no dedicated diamagnetic beta field exists.",identity,,TRUE,,,
BMHDMDIA,,,constant_float0d(:),,,Offset during the Ohmic phase between MHD and diamagnetic. ASDEX: Between diamagnetic beta poloidal and MHD beta poloidal. JFT2M: Between diamagnetic energy and MHD energy in Joule.,,,discard,machine specific.,identity,,,,,
TAUCR,,,,,,Current relaxation time in seconds from D.R. Mikkelsen Phys. Fluids B1 (1989) 333. TAUCR = 2.51e-6 x IP x RGEO / VSURF,,,,"Current relaxation time: TAUCR = 2.51e-6 × IP × RGEO / VSURF. Fully derivable from mapped fields (IP, RGEO, VSURF). Suggest derived.",,,,,,
FBS,,,,,,Bootstrap current fraction.,,,,"Bootstrap current fraction (Ibs/Ip). Candidate: summary/global_quantities/current_bootstrap is total bootstrap current in A, not a fraction. No fraction field found in summary. Suggest temporary or derived (current_bootstrap / global_quantities/ip).",,,,,,
RHOQ2,,,,,,Normalized radius of q = 2 surface.,,,,Normalized radius of q=2 surface. Derivable from equilibrium/time_slice/profiles_1d/q profile. No scalar global q=2 radius field in summary. Suggest derived or temporary.,,,,,,
RHOINV,,,,,,"Normalized sawtooth inversion radius as estimated by eq.(7) in H. Weisen et al, Nuclear Fusion 42 (2002) 136. RHOINV = 4e-7 x IP x RGEO / (AMIN^2 x BT x KAPPA x (KAPPA + 1/KAPPA))",,,,Normalized sawtooth inversion radius (Weisen formula). Candidate: sawteeth IDS may hold inversion radius profiles. In summary no direct scalar path. Suggest temporary.,,,,,,
